,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
employe_0,"('job_7', 'C')","('job_7', 'C')","('job_26', 'G')","('job_21', 'L')","('job_21', 'L')","('job_26', 'L')","('job_3', 'G')","('job_24', 'G')","('job_0', 'L')","('job_0', 'L')","('job_7', 'C')","('job_7', 'C')","('job_26', 'L')","('job_7', 'C')","('job_22', 'C')","('job_0', 'L')","('job_26', 'G')","('job_21', 'L')","('job_29', 'G')","('job_0', 'L')","('job_0', 'L')","('job_0', 'L')","('job_0', 'L')","('job_3', 'G')","('job_3', 'G')","('job_7', 'C')","('job_26', 'G')","('job_3', 'C')","('job_0', 'L')","('job_22', 'C')","('job_7', 'C')","('job_26', 'G')","('job_7', 'C')","('job_7', 'C')","('job_22', 'C')","('job_26', 'G')","('job_9', 'L')","('job_7', 'C')","('job_26', 'G')","('job_11', 'G')","('job_0', 'L')","('job_11', 'G')","('job_11', 'G')","('job_28', 'G')","('job_11', 'G')","('job_28', 'G')","('job_20', 'C')","('job_13', 'G')","('job_18', 'C')","('job_13', 'L')","('job_13', 'L')","('job_13', 'L')","('job_18', 'C')","('job_13', 'L')","('job_18', 'C')","('job_1', 'C')","('job_18', 'C')","('job_1', 'C')","('job_1', 'C')",
employe_1,"('job_24', 'F')","('job_24', 'K')","('job_29', 'M')","('job_17', 'K')","('job_24', 'K')","('job_20', 'A')","('job_24', 'A')","('job_9', 'K')","('job_14', 'J')",,"('job_24', 'A')","('job_22', 'K')","('job_3', 'K')","('job_29', 'K')","('job_14', 'J')","('job_9', 'K')","('job_22', 'K')","('job_29', 'K')","('job_22', 'K')","('job_24', 'A')","('job_24', 'F')",,"('job_4', 'A')","('job_14', 'J')","('job_29', 'K')","('job_22', 'K')","('job_3', 'M')","('job_11', 'M')","('job_22', 'K')","('job_8', 'M')","('job_29', 'K')","('job_20', 'A')","('job_22', 'K')","('job_29', 'K')","('job_29', 'K')","('job_22', 'K')",,"('job_17', 'K')","('job_22', 'K')","('job_11', 'M')","('job_22', 'K')","('job_20', 'A')","('job_11', 'M')",,"('job_17', 'K')",,"('job_20', 'A')","('job_17', 'K')","('job_17', 'K')","('job_13', 'F')","('job_18', 'F')",,"('job_13', 'K')","('job_18', 'F')","('job_13', 'J')","('job_18', 'F')",,"('job_1', 'F')",,"('job_1', 'F')"
employe_2,"('job_4', 'A')",,"('job_7', 'C')","('job_21', 'D')","('job_24', 'A')",,"('job_26', 'D')","('job_7', 'C')","('job_24', 'A')",,"('job_29', 'K')","('job_7', 'D')","('job_9', 'K')","('job_7', 'C')","('job_3', 'C')","('job_3', 'M')","('job_29', 'K')","('job_7', 'C')",,,"('job_3', 'M')",,"('job_24', 'K')","('job_4', 'A')","('job_4', 'A')","('job_14', 'J')","('job_29', 'K')","('job_7', 'C')","('job_9', 'K')","('job_9', 'K')","('job_29', 'K')","('job_29', 'K')","('job_22', 'K')",,"('job_29', 'K')","('job_22', 'C')","('job_22', 'K')",,"('job_11', 'M')","('job_11', 'M')","('job_7', 'D')","('job_11', 'M')","('job_20', 'A')","('job_17', 'K')",,"('job_17', 'K')","('job_20', 'A')",,"('job_17', 'K')","('job_17', 'K')","('job_1', 'C')","('job_18', 'C')","('job_1', 'C')","('job_18', 'C')","('job_1', 'C')","('job_18', 'C')","('job_1', 'C')",,"('job_1', 'C')","('job_1', 'C')"
employe_3,"('job_11', 'M')","('job_3', 'M')","('job_8', 'M')","('job_8', 'M')","('job_3', 'M')","('job_8', 'M')","('job_0', 'M')","('job_8', 'M')","('job_3', 'M')","('job_8', 'M')","('job_8', 'M')","('job_3', 'M')","('job_0', 'M')","('job_21', 'M')","('job_3', 'M')","('job_8', 'M')","('job_14', 'M')","('job_0', 'M')","('job_3', 'M')",,"('job_3', 'M')","('job_3', 'M')","('job_0', 'M')","('job_3', 'M')","('job_8', 'M')","('job_3', 'M')","('job_0', 'M')","('job_3', 'M')","('job_3', 'M')","('job_11', 'M')","('job_11', 'M')","('job_3', 'M')","('job_3', 'M')","('job_0', 'M')","('job_0', 'M')","('job_11', 'M')","('job_11', 'M')","('job_0', 'M')","('job_0', 'M')","('job_0', 'M')","('job_0', 'M')","('job_11', 'M')","('job_11', 'M')","('job_11', 'M')","('job_11', 'M')","('job_28', 'M')",,"('job_13', 'M')","('job_1', 'M')",,,,,,,,,,,
employe_4,"('job_8', 'N')","('job_21', 'N')","('job_28', 'B')","('job_15', 'I')","('job_24', 'A')","('job_24', 'F')","('job_15', 'I')","('job_21', 'L')","('job_28', 'B')","('job_9', 'I')","('job_21', 'I')","('job_24', 'F')","('job_0', 'L')","('job_24', 'F')","('job_21', 'I')","('job_8', 'N')","('job_24', 'A')","('job_15', 'I')","('job_29', 'D')","('job_24', 'D')","('job_0', 'L')","('job_0', 'L')","('job_0', 'L')","('job_14', 'B')","('job_4', 'A')","('job_4', 'A')","('job_28', 'B')","('job_28', 'B')","('job_28', 'B')","('job_26', 'D')","('job_29', 'N')","('job_8', 'F')","('job_20', 'A')","('job_26', 'B')","('job_28', 'B')","('job_28', 'B')","('job_26', 'L')","('job_28', 'B')","('job_28', 'B')","('job_7', 'I')","('job_28', 'B')","('job_28', 'B')","('job_28', 'B')","('job_20', 'A')","('job_28', 'B')","('job_28', 'I')","('job_20', 'A')","('job_17', 'I')","('job_17', 'I')","('job_18', 'F')","('job_18', 'F')","('job_18', 'F')","('job_13', 'I')","('job_18', 'F')",,"('job_1', 'F')","('job_18', 'F')","('job_1', 'B')","('job_1', 'F')",
employe_5,"('job_9', 'O')","('job_14', 'E')","('job_9', 'O')","('job_21', 'L')","('job_24', 'O')","('job_9', 'O')","('job_21', 'H')","('job_21', 'E')",,"('job_0', 'I')","('job_26', 'O')","('job_15', 'H')","('job_21', 'E')","('job_9', 'O')","('job_3', 'C')","('job_15', 'I')","('job_3', 'G')","('job_21', 'L')","('job_15', 'O')","('job_26', 'H')","('job_9', 'O')","('job_9', 'O')","('job_14', 'E')","('job_14', 'E')","('job_7', 'I')","('job_17', 'O')","('job_9', 'O')","('job_26', 'G')","('job_7', 'C')","('job_0', 'L')","('job_3', 'H')","('job_9', 'O')","('job_3', 'M')","('job_7', 'I')","('job_9', 'O')","('job_28', 'B')","('job_0', 'L')","('job_26', 'H')","('job_26', 'G')","('job_26', 'G')","('job_7', 'I')","('job_28', 'B')","('job_28', 'B')","('job_11', 'H')","('job_28', 'B')","('job_28', 'B')","('job_20', 'B')","('job_17', 'E')","('job_17', 'E')",,"('job_13', 'E')","('job_13', 'O')",,"('job_13', 'L')","('job_18', 'O')","('job_18', 'O')","('job_1', 'C')","('job_1', 'E')","('job_1', 'C')","('job_1', 'C')"
employe_6,"('job_15', 'I')","('job_3', 'M')","('job_14', 'J')","('job_8', 'N')","('job_21', 'E')","('job_15', 'I')","('job_24', 'A')","('job_14', 'E')","('job_7', 'I')","('job_21', 'I')","('job_3', 'M')","('job_14', 'J')","('job_15', 'H')","('job_9', 'N')","('job_8', 'N')","('job_21', 'E')","('job_14', 'J')","('job_15', 'I')","('job_15', 'I')","('job_15', 'I')","('job_21', 'E')","('job_14', 'E')","('job_4', 'A')","('job_8', 'N')","('job_15', 'H')","('job_15', 'I')","('job_14', 'J')","('job_9', 'H')","('job_8', 'N')","('job_9', 'L')","('job_26', 'L')","('job_3', 'H')","('job_28', 'E')","('job_0', 'H')","('job_7', 'I')","('job_0', 'L')","('job_0', 'J')","('job_7', 'I')","('job_0', 'D')","('job_20', 'A')","('job_20', 'A')","('job_20', 'A')","('job_11', 'M')","('job_11', 'H')","('job_20', 'A')","('job_28', 'L')","('job_20', 'A')","('job_17', 'I')","('job_17', 'I')","('job_13', 'L')","('job_18', 'I')","('job_18', 'I')","('job_13', 'L')","('job_13', 'N')","('job_13', 'N')","('job_1', 'E')","('job_1', 'E')","('job_1', 'E')","('job_1', 'E')","('job_1', 'E')"
employe_7,"('job_3', 'G')","('job_24', 'K')","('job_24', 'M')","('job_26', 'G')","('job_9', 'O')","('job_15', 'N')","('job_9', 'O')","('job_7', 'I')","('job_14', 'E')","('job_24', 'I')","('job_22', 'K')","('job_14', 'E')",,"('job_7', 'C')","('job_9', 'O')","('job_24', 'A')","('job_4', 'A')",,"('job_29', 'K')","('job_26', 'F')","('job_17', 'K')","('job_8', 'N')","('job_22', 'C')","('job_15', 'I')","('job_29', 'C')","('job_3', 'C')","('job_15', 'I')","('job_22', 'K')","('job_9', 'O')","('job_3', 'K')","('job_8', 'N')","('job_7', 'C')","('job_3', 'C')","('job_3', 'G')","('job_7', 'C')","('job_29', 'K')","('job_22', 'K')","('job_29', 'K')","('job_7', 'C')","('job_22', 'C')","('job_22', 'K')","('job_11', 'G')","('job_11', 'G')","('job_11', 'M')","('job_11', 'G')","('job_28', 'G')","('job_20', 'A')","('job_17', 'K')","('job_17', 'K')","('job_13', 'N')","('job_13', 'N')","('job_18', 'F')","('job_13', 'N')",,"('job_13', 'I')","('job_18', 'O')","('job_18', 'F')","('job_1', 'E')","('job_18', 'F')","('job_1', 'C')"
employe_8,"('job_26', 'H')",,"('job_17', 'K')",,"('job_29', 'K')","('job_14', 'J')","('job_9', 'M')","('job_22', 'L')",,"('job_22', 'K')","('job_0', 'L')","('job_29', 'K')","('job_3', 'M')",,"('job_7', 'L')",,"('job_24', 'J')","('job_21', 'H')","('job_14', 'J')",,,"('job_9', 'K')",,,,"('job_15', 'H')","('job_15', 'H')","('job_3', 'K')",,"('job_8', 'N')","('job_26', 'H')",,"('job_17', 'K')","('job_29', 'K')","('job_29', 'N')",,"('job_9', 'K')","('job_22', 'F')","('job_22', 'K')",,"('job_22', 'K')","('job_11', 'M')",,"('job_11', 'K')","('job_18', 'K')","('job_17', 'K')","('job_17', 'D')",,"('job_17', 'K')","('job_17', 'K')",,"('job_13', 'L')","('job_18', 'F')","('job_18', 'F')",,"('job_1', 'D')","('job_1', 'H')","('job_1', 'F')","('job_1', 'F')","('job_1', 'F')"
employe_9,"('job_26', 'H')","('job_29', 'K')","('job_9', 'O')","('job_21', 'H')","('job_15', 'H')","('job_9', 'O')","('job_21', 'O')","('job_14', 'E')","('job_17', 'H')","('job_24', 'K')","('job_29', 'K')","('job_15', 'H')","('job_14', 'J')","('job_29', 'K')","('job_7', 'C')","('job_21', 'H')","('job_21', 'E')","('job_14', 'L')","('job_21', 'E')","('job_7', 'C')","('job_14', 'E')","('job_8', 'N')","('job_7', 'I')","('job_29', 'K')","('job_14', 'O')","('job_0', 'L')","('job_7', 'I')","('job_29', 'K')","('job_26', 'G')","('job_9', 'O')","('job_29', 'K')","('job_29', 'K')","('job_9', 'O')","('job_28', 'L')","('job_0', 'L')","('job_9', 'O')","('job_9', 'O')","('job_29', 'K')","('job_7', 'C')","('job_11', 'G')","('job_11', 'G')","('job_11', 'E')","('job_17', 'K')","('job_11', 'G')","('job_28', 'G')","('job_28', 'G')","('job_17', 'K')","('job_17', 'K')","('job_17', 'K')","('job_18', 'F')","('job_13', 'N')",,"('job_13', 'N')","('job_13', 'N')","('job_13', 'C')","('job_18', 'O')","('job_18', 'F')","('job_1', 'E')","('job_1', 'C')","('job_1', 'C')"
employe_10,,,"('job_26', 'H')",,"('job_21', 'H')","('job_9', 'O')",,"('job_3', 'H')","('job_11', 'G')","('job_15', 'H')","('job_9', 'O')","('job_21', 'N')","('job_9', 'O')",,"('job_8', 'N')","('job_21', 'H')","('job_9', 'O')","('job_8', 'N')","('job_15', 'H')","('job_3', 'H')","('job_9', 'O')",,"('job_9', 'O')","('job_26', 'H')","('job_26', 'G')","('job_26', 'H')","('job_9', 'O')","('job_9', 'O')","('job_26', 'H')",,,"('job_0', 'G')","('job_29', 'N')","('job_9', 'O')","('job_9', 'O')",,"('job_9', 'O')","('job_11', 'G')","('job_11', 'O')","('job_26', 'H')","('job_22', 'H')","('job_11', 'H')","('job_11', 'G')","('job_11', 'G')","('job_11', 'G')","('job_20', 'H')","('job_20', 'H')","('job_18', 'O')","('job_17', 'O')","('job_13', 'N')","('job_13', 'N')","('job_13', 'N')","('job_13', 'N')","('job_13', 'N')","('job_13', 'N')","('job_1', 'G')","('job_18', 'O')",,,
employe_11,"('job_14', 'J')","('job_21', 'N')","('job_22', 'J')","('job_8', 'N')","('job_8', 'N')","('job_8', 'J')","('job_15', 'I')","('job_8', 'N')","('job_21', 'I')","('job_24', 'J')","('job_8', 'N')","('job_14', 'J')","('job_8', 'N')","('job_14', 'J')","('job_29', 'N')","('job_15', 'I')","('job_14', 'J')","('job_15', 'N')","('job_8', 'N')","('job_11', 'M')","('job_14', 'J')","('job_15', 'I')","('job_3', 'M')","('job_8', 'N')","('job_15', 'I')","('job_8', 'N')","('job_14', 'N')","('job_15', 'I')","('job_15', 'I')","('job_8', 'N')","('job_26', 'I')","('job_8', 'M')","('job_29', 'N')","('job_9', 'J')","('job_0', 'J')","('job_9', 'N')","('job_0', 'J')","('job_0', 'M')","('job_11', 'M')","('job_29', 'I')","('job_0', 'M')","('job_11', 'J')","('job_11', 'N')","('job_28', 'N')","('job_11', 'M')","('job_28', 'J')","('job_20', 'I')","('job_17', 'I')","('job_17', 'I')","('job_17', 'I')","('job_13', 'N')","('job_13', 'N')","('job_13', 'I')","('job_13', 'I')","('job_13', 'N')","('job_18', 'I')","('job_1', 'N')","('job_18', 'I')",,
employe_12,"('job_24', 'K')","('job_11', 'G')","('job_14', 'I')","('job_29', 'K')","('job_21', 'E')","('job_22', 'K')","('job_21', 'E')","('job_29', 'K')","('job_3', 'M')","('job_21', 'E')","('job_15', 'I')","('job_22', 'K')","('job_29', 'K')","('job_26', 'H')","('job_22', 'K')","('job_0', 'G')","('job_15', 'I')","('job_26', 'G')","('job_21', 'E')","('job_24', 'K')","('job_15', 'H')","('job_15', 'H')",,"('job_22', 'K')","('job_15', 'H')","('job_7', 'I')","('job_26', 'H')","('job_15', 'I')","('job_22', 'K')","('job_3', 'M')","('job_26', 'G')","('job_29', 'K')","('job_18', 'H')","('job_26', 'H')","('job_26', 'G')","('job_0', 'L')",,"('job_7', 'C')","('job_22', 'K')","('job_29', 'K')","('job_0', 'L')","('job_17', 'K')","('job_11', 'G')","('job_11', 'G')","('job_28', 'G')","('job_20', 'H')","('job_17', 'K')","('job_17', 'I')","('job_13', 'N')","('job_17', 'K')","('job_13', 'N')",,"('job_13', 'N')","('job_13', 'N')","('job_18', 'I')","('job_1', 'E')","('job_1', 'C')","('job_1', 'C')","('job_1', 'E')",
employe_13,"('job_21', 'A')","('job_24', 'K')","('job_8', 'F')","('job_4', 'A')","('job_9', 'K')","('job_24', 'A')","('job_9', 'D')","('job_24', 'A')",,"('job_14', 'D')","('job_21', 'H')","('job_21', 'H')",,"('job_24', 'K')","('job_20', 'A')",,"('job_26', 'H')","('job_15', 'H')","('job_26', 'H')","('job_24', 'H')",,"('job_29', 'K')","('job_4', 'A')","('job_26', 'H')","('job_22', 'K')",,,,"('job_28', 'K')","('job_29', 'K')","('job_22', 'K')","('job_26', 'H')","('job_22', 'K')","('job_22', 'F')","('job_9', 'K')","('job_26', 'H')","('job_29', 'K')","('job_29', 'K')","('job_22', 'K')","('job_29', 'K')","('job_22', 'K')","('job_20', 'A')",,"('job_17', 'K')","('job_28', 'H')",,"('job_20', 'A')","('job_17', 'K')","('job_17', 'K')",,"('job_18', 'F')",,"('job_13', 'H')",,"('job_13', 'D')","('job_18', 'F')",,"('job_1', 'F')","('job_1', 'F')",
employe_14,"('job_24', 'A')","('job_24', 'E')","('job_21', 'E')","('job_14', 'E')","('job_4', 'A')","('job_28', 'B')","('job_14', 'B')","('job_4', 'A')","('job_4', 'A')","('job_15', 'N')","('job_3', 'M')","('job_14', 'B')","('job_14', 'E')","('job_20', 'A')","('job_24', 'F')","('job_28', 'B')","('job_14', 'E')","('job_3', 'M')","('job_14', 'B')","('job_14', 'B')","('job_24', 'A')","('job_26', 'E')","('job_4', 'A')","('job_28', 'B')","('job_14', 'E')","('job_14', 'E')","('job_14', 'B')","('job_8', 'N')","('job_20', 'A')","('job_8', 'N')","('job_0', 'F')","('job_8', 'M')","('job_3', 'M')","('job_3', 'M')","('job_20', 'F')","('job_28', 'B')","('job_28', 'F')","('job_22', 'F')","('job_29', 'N')","('job_28', 'B')","('job_28', 'B')","('job_28', 'B')","('job_28', 'B')","('job_11', 'M')","('job_28', 'B')","('job_28', 'B')","('job_20', 'A')",,"('job_17', 'E')","('job_13', 'B')",,"('job_13', 'N')","('job_13', 'N')","('job_18', 'F')","('job_18', 'F')",,"('job_18', 'F')",,"('job_18', 'F')","('job_1', 'E')"
employe_15,"('job_21', 'E')","('job_21', 'I')","('job_9', 'O')","('job_24', 'K')","('job_7', 'C')","('job_9', 'O')","('job_29', 'O')","('job_29', 'K')","('job_21', 'L')","('job_21', 'L')","('job_26', 'J')","('job_21', 'E')","('job_9', 'O')",,,"('job_15', 'O')","('job_28', 'B')","('job_21', 'I')","('job_22', 'K')","('job_21', 'E')","('job_14', 'J')","('job_0', 'L')","('job_9', 'O')","('job_15', 'I')","('job_9', 'O')","('job_7', 'I')","('job_7', 'C')","('job_7', 'I')","('job_15', 'I')","('job_3', 'K')","('job_29', 'K')","('job_8', 'J')","('job_0', 'L')","('job_9', 'O')","('job_7', 'C')","('job_29', 'K')","('job_9', 'O')","('job_22', 'C')","('job_7', 'C')","('job_29', 'K')","('job_22', 'K')","('job_28', 'B')","('job_20', 'A')","('job_20', 'A')","('job_28', 'B')","('job_28', 'B')","('job_17', 'B')",,"('job_17', 'K')","('job_17', 'E')",,"('job_1', 'C')","('job_18', 'F')","('job_18', 'F')","('job_13', 'L')","('job_18', 'O')","('job_18', 'F')","('job_1', 'C')",,"('job_1', 'C')"
employe_16,"('job_15', 'N')","('job_8', 'N')","('job_22', 'N')","('job_14', 'C')","('job_24', 'N')",,"('job_7', 'C')","('job_7', 'C')","('job_7', 'C')","('job_15', 'N')","('job_8', 'N')","('job_15', 'N')",,"('job_22', 'C')","('job_21', 'N')","('job_21', 'N')","('job_22', 'C')","('job_7', 'C')","('job_7', 'C')","('job_29', 'N')","('job_7', 'C')",,"('job_8', 'N')","('job_14', 'N')","('job_29', 'N')","('job_8', 'N')",,"('job_8', 'N')","('job_8', 'N')","('job_3', 'C')","('job_8', 'N')","('job_8', 'N')","('job_28', 'N')","('job_22', 'C')","('job_22', 'C')","('job_7', 'C')","('job_22', 'C')","('job_22', 'C')",,"('job_7', 'C')","('job_22', 'C')","('job_28', 'C')","('job_28', 'N')",,"('job_28', 'N')","('job_28', 'N')","('job_20', 'C')","('job_17', 'N')","('job_13', 'N')","('job_13', 'N')","('job_13', 'N')","('job_13', 'N')","('job_13', 'N')","('job_13', 'N')","('job_13', 'N')","('job_1', 'C')","('job_1', 'C')","('job_1', 'C')","('job_18', 'C')","('job_1', 'C')"
employe_17,"('job_3', 'H')","('job_29', 'J')","('job_8', 'N')","('job_4', 'A')",,"('job_15', 'J')","('job_14', 'J')","('job_0', 'L')","('job_15', 'H')","('job_11', 'G')","('job_4', 'A')","('job_15', 'H')","('job_24', 'A')","('job_11', 'G')","('job_24', 'F')","('job_26', 'G')","('job_8', 'J')","('job_14', 'J')","('job_14', 'G')","('job_15', 'H')","('job_21', 'L')",,"('job_15', 'H')","('job_14', 'F')","('job_14', 'J')","('job_15', 'H')","('job_4', 'A')","('job_8', 'N')","('job_15', 'H')","('job_11', 'G')","('job_3', 'G')","('job_26', 'G')","('job_3', 'G')","('job_3', 'H')","('job_26', 'L')",,"('job_0', 'G')","('job_26', 'G')","('job_0', 'J')","('job_0', 'G')",,"('job_11', 'G')","('job_11', 'H')","('job_11', 'H')","('job_28', 'G')","('job_20', 'A')","('job_20', 'A')","('job_17', 'F')","('job_17', 'J')","('job_17', 'J')",,"('job_13', 'N')","('job_13', 'N')","('job_18', 'F')",,"('job_1', 'F')",,"('job_18', 'F')","('job_18', 'F')",
employe_18,"('job_15', 'H')","('job_24', 'A')","('job_3', 'M')","('job_0', 'F')","('job_15', 'H')","('job_21', 'H')","('job_14', 'J')","('job_24', 'F')","('job_24', 'A')","('job_22', 'C')","('job_24', 'J')","('job_21', 'H')","('job_14', 'J')","('job_14', 'A')","('job_15', 'H')","('job_21', 'H')","('job_24', 'J')","('job_14', 'J')","('job_7', 'C')","('job_24', 'J')",,"('job_0', 'M')","('job_4', 'A')","('job_15', 'H')",,"('job_14', 'J')","('job_22', 'C')","('job_15', 'H')","('job_0', 'J')","('job_7', 'C')","('job_3', 'M')",,"('job_26', 'H')","('job_26', 'H')","('job_26', 'H')","('job_0', 'M')","('job_22', 'F')","('job_26', 'H')","('job_7', 'C')","('job_7', 'C')","('job_7', 'C')","('job_11', 'M')","('job_11', 'F')","('job_20', 'A')","('job_11', 'M')","('job_28', 'H')","('job_20', 'A')","('job_17', 'J')","('job_17', 'F')","('job_17', 'F')","('job_18', 'F')","('job_18', 'F')",,"('job_1', 'C')","('job_1', 'C')","('job_1', 'C')",,"('job_1', 'C')","('job_18', 'F')","('job_1', 'C')"
employe_19,"('job_26', 'A')","('job_4', 'A')","('job_20', 'A')",,"('job_24', 'A')","('job_4', 'A')","('job_4', 'A')","('job_21', 'A')","('job_4', 'A')","('job_24', 'A')","('job_24', 'A')","('job_4', 'A')","('job_24', 'A')","('job_21', 'A')","('job_4', 'A')","('job_4', 'A')","('job_20', 'A')","('job_24', 'A')","('job_24', 'A')","('job_21', 'A')","('job_4', 'A')",,"('job_24', 'A')","('job_24', 'A')","('job_20', 'A')","('job_4', 'A')",,"('job_26', 'A')","('job_20', 'A')","('job_20', 'A')","('job_20', 'A')","('job_20', 'A')","('job_20', 'A')","('job_20', 'A')","('job_20', 'A')","('job_20', 'A')","('job_20', 'A')",,"('job_20', 'A')","('job_20', 'A')","('job_20', 'A')","('job_20', 'A')","('job_20', 'A')","('job_20', 'A')","('job_20', 'A')",,"('job_20', 'A')","('job_18', 'A')","('job_13', 'A')",,,,,,"('job_18', 'A')",,,,,
